frm_class;frm_snr;frm_nobs;depth_from;depth_to;tsw;variable;network;station;instrument;tsw;lon;lat;idx
not representative;-1.1726619;6694;0.025;0.025;bulk;soil_moisture;ARM;Omega;SMP1-A;bulk;-98.173;35.88;165
representative;0.082130544;6527;0.025;0.025;bulk;soil_moisture;ARM;Omega;SMP1-B;bulk;-98.173;35.88;166
representative;0.13932022;6708;0.025;0.025;bulk;soil_moisture;ARM;Omega;SMP1-C;bulk;-98.173;35.88;167
very representative;7.638597;4105;0.05;0.05;bulk;soil_moisture;ARM;Omega;Hydraprobe-II-Sdi-12-E;bulk;-98.173;35.88;168
very representative;6.496624;4166;0.05;0.05;bulk;soil_moisture;ARM;Omega;Hydraprobe-II-Sdi-12-S;bulk;-98.173;35.88;169
very representative;7.718152;4135;0.05;0.05;bulk;soil_moisture;ARM;Omega;Hydraprobe-II-Sdi-12-W;bulk;-98.173;35.88;170
not representative;-10.394935;4079;0.1;0.1;bulk;soil_moisture;ARM;Omega;Hydraprobe-II-Sdi-12-E;bulk;-98.173;35.88;171
undeducible;-23.913242;3807;0.1;0.1;bulk;soil_moisture;ARM;Omega;Hydraprobe-II-Sdi-12-S;bulk;-98.173;35.88;172
undeducible;-23.638426;4006;0.1;0.1;bulk;soil_moisture;ARM;Omega;Hydraprobe-II-Sdi-12-W;bulk;-98.173;35.88;173
undeducible;;0;0.025;0.025;bulk;soil_moisture;ARM;Pawhuska;SMP1-A;bulk;-96.427;36.841;174
undeducible;;0;0.025;0.025;bulk;soil_moisture;ARM;Pawhuska;SMP1-B;bulk;-96.427;36.841;175
undeducible;;0;0.025;0.025;bulk;soil_moisture;ARM;Pawhuska;SMP1-C;bulk;-96.427;36.841;176
representative;1.1502335;7594;0.05;0.05;bulk;soil_moisture;ARM;Pawhuska;Hydraprobe-II-Sdi-12-E;bulk;-96.427;36.841;177
representative;0.2068911;7629;0.05;0.05;bulk;soil_moisture;ARM;Pawhuska;Hydraprobe-II-Sdi-12-S;bulk;-96.427;36.841;178
representative;0.9104327;7614;0.05;0.05;bulk;soil_moisture;ARM;Pawhuska;Hydraprobe-II-Sdi-12-W;bulk;-96.427;36.841;179
representative;1.5417864;13358;0.05;0.05;bulk;soil_moisture;ARM;Pawhuska;Water-Matric-Potential-Sensor-229L-E;bulk;-96.427;36.841;180
representative;0.021517595;13378;0.05;0.05;bulk;soil_moisture;ARM;Pawhuska;Water-Matric-Potential-Sensor-229L-W;bulk;-96.427;36.841;181
not representative;-6.1106415;5693;0.1;0.1;bulk;soil_moisture;ARM;Pawhuska;Hydraprobe-II-Sdi-12-E;bulk;-96.427;36.841;182
not representative;-5.178181;6418;0.1;0.1;bulk;soil_moisture;ARM;Pawhuska;Hydraprobe-II-Sdi-12-S;bulk;-96.427;36.841;183
not representative;-6.1944413;6501;0.1;0.1;bulk;soil_moisture;ARM;Pawhuska;Hydraprobe-II-Sdi-12-W;bulk;-96.427;36.841;184
very representative;7.2371325;2911;0.05;0.05;bulk;soil_moisture;ARM;Pawnee;Hydraprobe-II-Sdi-12-E;bulk;-96.76203;36.31937;185
very representative;9.489218;2918;0.05;0.05;bulk;soil_moisture;ARM;Pawnee;Hydraprobe-II-Sdi-12-S;bulk;-96.76203;36.31937;186
very representative;10.733251;2911;0.05;0.05;bulk;soil_moisture;ARM;Pawnee;Hydraprobe-II-Sdi-12-W;bulk;-96.76203;36.31937;187
not representative;-4.2029204;2921;0.1;0.1;bulk;soil_moisture;ARM;Pawnee;Hydraprobe-II-Sdi-12-E;bulk;-96.76203;36.31937;188
not representative;-1.659964;2904;0.1;0.1;bulk;soil_moisture;ARM;Pawnee;Hydraprobe-II-Sdi-12-S;bulk;-96.76203;36.31937;189
not representative;-3.1271236;2914;0.1;0.1;bulk;soil_moisture;ARM;Pawnee;Hydraprobe-II-Sdi-12-W;bulk;-96.76203;36.31937;190
